"app_id","ssn","year","zip_code","income","homeownership","purchases","credit_limit"
101157,476525396,2022,88454,93000,"Rent",795.690174810593,25800
101157,476525396,2023,88454,140000,"Own",25799.2642496282,25800
101157,476525396,2024,88454,134000,"Rent",25687.3607635086,25800
101407,843258275,2022,65997,97000,"Rent",233.163108040801,25100
101407,843258275,2023,65997,87000,"Own",1406.73520507487,25100
101407,843258275,2024,65997,89000,"Own",1352.42528922174,25100
101858,111535279,2022,94872,74000,"Own",4301.83934176936,32700
101858,111535279,2023,94872,75000,"Rent",4179.34776204342,30500
101858,111535279,2024,94872,89000,"Rent",21889.563591327,27200
102476,282680472,2022,36872,117000,"Rent",16082.7671387861,18100
102476,282680472,2023,36872,0,"Own",18099.9999999933,18100
102476,282680472,2024,36872,0,"Rent",16399.9999999976,16400
104682,725628314,2022,93788,132000,"Rent",9351.70842756177,11200
104682,725628314,2023,93788,68000,"Own",3052.87180831163,11200
104682,725628314,2024,93788,94000,"Own",4372.62979332046,9900
105745,458588403,2022,37815,81000,"Own",3407.66819135836,20100
105745,458588403,2023,37815,62000,"Rent",150.971116104551,20100
105745,458588403,2024,37815,79000,"Rent",297.312626675462,20100
106319,827960778,2022,81190,55000,"Rent",1338.08588792995,39400
106319,827960778,2023,81190,47000,"Rent",2282.8273074336,39400
106319,827960778,2024,81190,37000,"Rent",7779.32719944208,39400
107901,921238853,2022,27319,104000,"Own",20879.1422874774,21100
107901,921238853,2023,27319,146000,"Own",20199.9613805072,20200
107901,921238853,2024,27319,121000,"Own",15898.4138906957,15900
108750,318412652,2022,67492,10000,"Rent",16161.7644072566,16700
108750,318412652,2023,67492,12000,"Rent",15913.3357072208,16700
108750,318412652,2024,67492,6000,"Rent",16626.6570125341,16700
110627,573442688,2022,61182,58000,"Rent",463.974759207083,20100
110627,573442688,2023,61182,29000,"Rent",6447.30123261547,20100
110627,573442688,2024,61182,12000,"Rent",19629.1138345686,20100
111742,535469132,2022,39068,110000,"Rent",845.330815628289,10400
111742,535469132,2023,39068,137000,"Rent",9572.40141688724,9800
111742,535469132,2024,39068,201000,"Rent",9199.99999999997,9200
113314,891215345,2022,84085,54000,"Rent",1476.16263843213,12700
113314,891215345,2023,84085,58000,"Rent",2991.90512067282,12000
113314,891215345,2024,84085,41000,"Own",11024.9256326424,11400
116357,485894483,2022,42665,64000,"Rent",111.449690213407,13500
116357,485894483,2023,42665,57000,"Rent",103.217735035385,13500
116357,485894483,2024,42665,118000,"Own",13474.2488984863,13500
118015,284980698,2022,82534,47000,"Rent",4965.00636200883,30200
118015,284980698,2023,82534,74000,"Rent",4606.20319855388,30200
118015,284980698,2024,82534,62000,"Rent",7013.07011961931,29200
123360,847033734,2022,69688,74000,"Rent",336.624880101599,15100
123360,847033734,2023,69688,113000,"Own",14530.9092428357,15100
123360,847033734,2024,69688,163000,"Own",15099.9999962732,15100
125586,517403783,2022,28869,86000,"Rent",290.300512322557,27500
125586,517403783,2023,28869,108000,"Own",7959.59453537987,27500
125586,517403783,2024,28869,152000,"Own",27499.3597610631,27500
126869,214299355,2022,79369,22000,"Rent",6559.44716777627,6600
126869,214299355,2023,79369,14000,"Rent",6592.31052278802,6600
126869,214299355,2024,79369,17000,"Own",6099.5494514502,6100
129606,143936888,2022,55217,38000,"Own",3676.65220224723,27000
129606,143936888,2023,55217,25000,"Rent",2203.3507717079,26000
129606,143936888,2024,55217,34000,"Own",20913.9061836097,23000
131237,531119744,2022,78587,50000,"Own",7599.86405556844,7600
131237,531119744,2023,78587,41000,"Rent",6999.87129585205,7000
131237,531119744,2024,78587,62000,"Own",6499.97902241904,6500
131998,314176796,2022,19312,41000,"Rent",2698.09524249191,2800
131998,314176796,2023,19312,40000,"Rent",2464.9565748446,2500
131998,314176796,2024,19312,43000,"Rent",2464.24781331304,2500
133002,694573264,2022,54539,36000,"Rent",624.105334760359,39700
133002,694573264,2023,54539,59000,"Rent",142.561327145872,39700
133002,694573264,2024,54539,79000,"Rent",337.936905496456,39700
134930,485606062,2022,39038,83000,"Own",1304.52184798577,31100
134930,485606062,2023,39038,81000,"Own",999.065715722347,31100
134930,485606062,2024,39038,60000,"Rent",151.140135803967,31100
137205,862142430,2022,12501,65000,"Rent",120.158343064647,23300
137205,862142430,2023,12501,54000,"Rent",266.369459617568,23300
137205,862142430,2024,12501,51000,"Rent",469.090120858785,23300
140619,581174328,2022,94071,73000,"Own",2091.9990560755,27500
140619,581174328,2023,94071,63000,"Rent",144.278362973925,27500
140619,581174328,2024,94071,73000,"Rent",206.780338795772,27500
140969,178240425,2022,90632,36000,"Own",6008.39897386941,10900
140969,178240425,2023,90632,63000,"Own",1256.16117552974,10900
140969,178240425,2024,90632,83000,"Rent",407.421656940021,10900
146336,996743231,2022,74363,85000,"Rent",1562.38783543727,15400
146336,996743231,2023,74363,150000,"Rent",14699.0848507013,14700
146336,996743231,2024,74363,2e+05,"Rent",12500,12500
152165,468504990,2022,92697,62000,"Rent",115.983199548516,13900
152165,468504990,2023,92697,61000,"Own",765.848979748362,13900
152165,468504990,2024,92697,54000,"Own",846.702416976563,13900
153983,394415662,2022,75116,74000,"Rent",102.683076652854,19400
153983,394415662,2023,75116,46000,"Rent",1466.00233600002,19400
153983,394415662,2024,75116,42000,"Rent",3453.3769358642,19400
155998,725988945,2022,50732,55000,"Rent",2290.44902907551,39300
155998,725988945,2023,50732,49000,"Rent",24572.3730897277,36800
155998,725988945,2024,50732,70000,"Own",23420.2309225877,35600
157184,744304171,2022,67781,61000,"Rent",127.952660192585,23600
157184,744304171,2023,67781,53000,"Own",970.908672776891,23600
157184,744304171,2024,67781,66000,"Rent",122.481235871262,23600
158047,747549410,2022,39243,34000,"Rent",909.747834799139,38200
158047,747549410,2023,39243,41000,"Own",3299.70698598263,38200
158047,747549410,2024,39243,41000,"Rent",570.738203580124,38200
159068,276035957,2022,78718,83000,"Rent",193.165338400451,14700
159068,276035957,2023,78718,73000,"Own",3165.87015171991,14700
159068,276035957,2024,78718,36000,"Rent",14656.3390742616,14700
160516,314391950,2022,31114,23000,"Own",27300.1781031502,28200
160516,314391950,2023,31114,39000,"Rent",8333.83457081844,27100
160516,314391950,2024,31114,63000,"Rent",2662.90776223242,26100
161000,198025365,2022,41740,53000,"Rent",271.442873415868,9400
161000,198025365,2023,41740,76000,"Own",8145.75771081668,9400
