"year","app_id","ssn","zip_code_app","purchases","income","homeownership","credit_limit","zip_code_bureau","fico","num_late","past_def","num_bankruptcy","avg_income","density"
2002,601,369131364,18271,786.882056902876,57000,"Rent",26900,18271,769,0,0,0,62747.3800589582,11.390888239775
2002,602,649159502,67921,1257.21383566771,46000,"Rent",33800,67921,NA,0,0,0,42102.2450614123,2.69423454045979
2002,603,713339871,22412,16046.8829736388,20000,"Rent",34600,22412,838,0,0,0,65314.1248157241,531.607995832976
2002,604,193161489,35558,8357.64526285827,63000,"Rent",9400,35558,556,5,0,0,82684.8653921069,29.6810120334939
2002,605,369131364,18271,786.882056902876,57000,"Rent",26900,18271,769,0,0,0,62747.3800589582,11.390888239775
2002,606,212201011,64719,3763.08119560982,95000,"Rent",35300,64719,844,2,0,0,71746.0587607983,166.197251836807
2002,607,337448746,68989,8143.91415025191,28000,"Rent",37800,68989,865,1,0,0,59177.9376474826,260.616718424569
2002,608,258472250,24527,4716.30710584768,78000,"Own",34700,24527,839,0,0,0,57007.1903565818,540.727799013138
2002,609,591450430,29183,4586.98717886192,42000,"Rent",21400,29183,713,1,0,0,67715.6970655133,602.470986226699
2002,610,575061405,84619,5861.63029487423,11000,"Rent",35200,84619,843,0,0,0,45193.7376926428,4.9261438757284
2002,611,783044147,77267,6426.68690734353,33000,"Own",28200,77267,781,0,0,0,55865.9401151355,169.601670256239
2002,612,319674267,64147,1347.0970973246,46000,"Rent",34500,64147,837,0,0,0,46014.3851321128,23.615213092008
2002,613,573442688,61182,1922.78695383396,58000,"Rent",20100,61182,698,1,0,0,55894.9064243519,395.664890541715
2002,614,958654972,97004,1604.04566178636,58000,"Rent",40700,97004,888,0,0,0,59760.5073328187,154.887221959803
2002,615,444927818,29089,1253.15359020807,41000,"Own",25300,29089,753,0,0,0,61102.2609441748,0.470536206942333
2002,616,481606206,48175,2696.83013333218,46000,"Rent",35500,48175,846,1,0,0,40271.3915035414,108.085692189907
2002,617,996743231,74363,3743.71467509982,85000,"Rent",15400,74363,643,2,0,0,84770.4795502775,1329.58371419977
2002,618,928440420,57731,1946.66927111812,49000,"Rent",33200,57731,826,0,0,0,60211.8410363766,523.138660889968
2002,619,440668129,96631,1451.77611250422,96000,"Rent",32500,96631,820,1,0,0,88544.8540446245,3.15542591245192
2002,620,445514363,14150,5852.9391262462,95000,"Rent",7300,14150,520,3,1,1,92381.4938247018,9.41203549153146
2002,621,893741291,64266,3699.47355145735,37000,"Rent",400,64266,314,1,1,3,64302.5467602791,1129.64582420244
2002,622,891215345,84085,3371.35980877846,54000,"Rent",12700,84085,607,2,0,0,57113.1133789485,713.248473780684
2002,623,744272537,33498,695.021719446411,75000,"Rent",32100,33498,817,0,0,0,73823.7529029686,6.45753784219905
2002,624,188536271,68421,4109.32165236127,13000,"Rent",22000,68421,719,1,0,0,37290.2183302193,0.65065087093141
2002,625,193161489,35558,8357.64526285827,63000,"Rent",9400,35558,556,5,0,0,82684.8653921069,29.6810120334939
2002,626,996743231,74363,3743.71467509982,85000,"Rent",15400,74363,643,2,0,0,84770.4795502775,1329.58371419977
2002,627,163524129,10630,3552.47549354539,64000,"Own",35200,10630,843,0,0,0,59200.0721274788,165.405608051621
2002,628,134025899,90032,3579.51633432891,82000,"Own",18600,90032,681,1,0,0,69853.4742001258,1.72880728637165
2002,629,228161950,95009,4644.03818842723,46000,"Own",3100,95009,427,1,2,1,61131.4609337123,247.328073336958
