"ssn","year","zip_code","fico","num_late","past_def","num_bankruptcy"
100322072,2022,38235,723,0,0,0
100322072,2023,38235,723,0,0,0
100322072,2024,38235,723,0,0,0
100867551,2022,46165,687,2,0,0
100867551,2023,46165,677,3,0,0
100867551,2024,46165,677,3,0,0
101171966,2022,79142,722,4,0,0
101171966,2023,79142,712,5,0,0
101171966,2024,79142,712,5,0,0
101214791,2022,86618,803,0,0,0
101214791,2023,86618,803,0,0,0
101214791,2024,86618,803,0,0,0
101328247,2022,24616,604,1,0,0
101328247,2023,24616,604,1,0,0
101328247,2024,24616,604,1,0,0
102628197,2022,68686,686,0,0,0
102628197,2023,68686,686,0,0,0
102628197,2024,68686,686,0,0,0
103444776,2022,29668,662,1,0,0
103444776,2023,29668,662,1,0,0
103444776,2024,29668,662,1,0,0
103552505,2022,40343,832,3,0,0
103552505,2023,40343,832,3,0,0
103552505,2024,40343,822,4,0,0
103627917,2022,71153,795,1,0,0
103627917,2023,71153,775,3,0,0
103627917,2024,71153,775,3,0,0
104129966,2022,62497,644,0,0,0
104129966,2023,62497,644,0,0,0
104129966,2024,62497,644,0,0,0
104661427,2022,47525,647,5,0,0
104661427,2023,47525,637,6,0,0
104661427,2024,47525,637,6,0,0
105082869,2022,77285,707,1,0,0
105082869,2023,77285,707,1,0,0
105082869,2024,77285,707,1,0,0
105336630,2022,14233,729,0,0,0
105336630,2023,14233,729,0,0,0
105336630,2024,14233,729,0,0,0
105383282,2022,66669,580,0,0,0
105383282,2023,66669,580,0,0,0
105383282,2024,66669,580,0,0,0
105443406,2022,18812,861,3,0,0
105443406,2023,18812,851,4,0,0
105443406,2024,18812,841,5,0,0
106329603,2022,12253,558,1,0,0
106329603,2023,12253,538,3,0,0
106329603,2024,12253,538,3,0,0
106410205,2022,41041,579,0,0,0
106410205,2023,41041,579,0,0,0
106410205,2024,41041,579,0,0,0
106673276,2022,62151,752,0,0,0
106673276,2023,62151,752,0,0,0
106673276,2024,62151,752,0,0,0
106876684,2022,67457,665,0,0,0
106876684,2023,67457,665,0,0,0
106876684,2024,67457,665,0,0,0
107042422,2022,59076,729,0,0,0
107042422,2023,59076,729,0,0,0
107042422,2024,59076,729,0,0,0
107124994,2022,54779,574,0,0,0
107124994,2023,54779,574,0,0,0
107124994,2024,54779,574,0,0,0
107129495,2022,16988,769,2,0,0
107129495,2023,16988,739,5,0,0
107129495,2024,16988,739,5,0,0
108319748,2022,34756,533,4,0,0
108319748,2023,34756,523,5,0,0
108319748,2024,34756,503,7,0,0
108322857,2022,57290,681,1,0,0
108322857,2023,57290,681,1,0,0
108322857,2024,57290,661,3,0,0
108683730,2022,21158,766,1,0,0
108683730,2023,21158,746,3,0,0
108683730,2024,21158,746,3,0,0
108709868,2022,10115,893,0,0,0
108709868,2023,10115,893,0,0,0
108709868,2024,10115,893,0,0,0
108835549,2022,83740,785,1,0,0
108835549,2023,83740,775,2,0,0
108835549,2024,83740,775,2,0,0
109046727,2022,15890,730,1,0,0
109046727,2023,15890,730,1,0,0
109046727,2024,15890,730,1,0,0
109160926,2022,46207,639,4,0,0
109160926,2023,46207,619,6,0,0
109160926,2024,46207,609,7,0,0
109200239,2022,20235,734,1,1,1
109200239,2023,20235,674,2,2,1
109200239,2024,20235,664,3,2,1
111201769,2022,86439,667,0,0,0
111201769,2023,86439,667,0,0,0
111201769,2024,86439,667,0,0,0
111422409,2022,89452,887,0,0,0
111422409,2023,89452,887,0,0,0
111422409,2024,89452,887,0,0,0
111433395,2022,30352,669,1,1,1
111433395,2023,30352,669,1,1,1
111433395,2024,30352,659,2,1,1
111535279,2022,94872,822,2,0,0
111535279,2023,94872,802,4,0,0
111535279,2024,94872,772,7,0,0
111869051,2022,41493,631,0,0,0
111869051,2023,41493,631,0,0,0
111869051,2024,41493,631,0,0,0
112170586,2022,13548,570,0,0,0
112170586,2023,13548,570,0,0,0
112170586,2024,13548,570,0,0,0
112744426,2022,42649,658,0,0,0
112744426,2023,42649,658,0,0,0
112744426,2024,42649,658,0,0,0
112977493,2022,79162,836,3,0,0
112977493,2023,79162,816,5,0,0
112977493,2024,79162,796,7,0,0
113280542,2022,42790,707,0,0,0
113280542,2023,42790,707,0,0,0
113280542,2024,42790,707,0,0,0
113556046,2022,99224,862,1,0,0
113556046,2023,99224,862,1,0,0
113556046,2024,99224,862,1,0,0
114033345,2022,78010,627,0,0,0
114033345,2023,78010,627,0,0,0
114033345,2024,78010,627,0,0,0
114314369,2022,76689,696,0,0,0
114314369,2023,76689,696,0,0,0
114314369,2024,76689,696,0,0,0
114819170,2022,81630,555,1,0,0
114819170,2023,81630,555,1,0,0
114819170,2024,81630,555,1,0,0
114864050,2022,82852,451,2,3,2
114864050,2023,82852,441,3,3,2
114864050,2024,82852,381,4,4,2
115378010,2022,61437,825,0,0,0
115378010,2023,61437,825,0,0,0
115378010,2024,61437,825,0,0,0
